T,model,n_cells,mean_full_acc,mean_mode_acc,mean_mode_f1,mean_hall_prec,mean_hall_rec,mean_hall_f1,mean_balanced
600,kernel,20,0.4202,0.4095,0.4114,0.1185,0.5792,0.0818,0.2457
600,knn,20,0.6442,0.6596,0.6581,0.1746,0.1145,0.1027,0.3811
600,linear,20,0.3251,0.3132,0.4139,0.0298,0.6452,0.0566,0.1849
600,mlp,20,0.8742,0.8951,0.8864,0.5644,0.1885,0.2684,0.5817
600,polar2,20,0.8712,0.8896,0.8847,0.4724,0.2664,0.3243,0.6070
600,polar3,20,0.8714,0.8904,0.8837,0.5503,0.2465,0.3240,0.6072
600,polar8,20,0.8542,0.8738,0.8666,0.4999,0.2049,0.2732,0.5735
600,quadratic,20,0.8465,0.8646,0.8639,0.4683,0.2345,0.2708,0.5677
650,altered_knn,20,0.7650,0.7827,0.8022,0.0777,0.1756,0.0915,0.4371
650,analytic,20,0.8940,0.9145,0.9047,0.6766,0.2317,0.3383,0.6264
650,kernel,20,0.4201,0.4095,0.4113,0.1194,0.5790,0.0815,0.2455
650,knn,20,0.6439,0.6592,0.6577,0.1735,0.1136,0.1016,0.3804
650,linear,20,0.3243,0.3125,0.4130,0.0298,0.6458,0.0566,0.1845
650,mlp,20,0.8739,0.8949,0.8860,0.5723,0.1857,0.2653,0.5801
650,polar2,20,0.8710,0.8896,0.8846,0.4711,0.2616,0.3193,0.6045
650,polar3,20,0.8714,0.8905,0.8838,0.5539,0.2414,0.3195,0.6050
650,polar8,20,0.8543,0.8740,0.8666,0.5076,0.2004,0.2695,0.5717
650,quadratic,20,0.8466,0.8648,0.8640,0.4718,0.2313,0.2681,0.5665
700,altered_knn,20,0.7628,0.7802,0.8012,0.0804,0.1851,0.0936,0.4369
700,analytic,20,0.8940,0.9146,0.9048,0.6776,0.2324,0.3392,0.6269
700,kernel,20,0.4201,0.4095,0.4113,0.1197,0.5787,0.0812,0.2454
700,knn,20,0.6435,0.6589,0.6573,0.1726,0.1124,0.1006,0.3797
700,linear,20,0.3237,0.3118,0.4121,0.0298,0.6461,0.0565,0.1841
700,mlp,20,0.8735,0.8946,0.8856,0.5794,0.1796,0.2583,0.5764
700,polar2,20,0.8710,0.8897,0.8846,0.4692,0.2578,0.3159,0.6028
700,polar3,20,0.8712,0.8904,0.8835,0.5589,0.2388,0.3179,0.6042
700,polar8,20,0.8537,0.8734,0.8661,0.5010,0.1969,0.2648,0.5691
700,quadratic,20,0.8467,0.8650,0.8640,0.4746,0.2285,0.2655,0.5652
750,altered_knn,20,0.7687,0.7871,0.8029,0.0819,0.1620,0.0878,0.4374
750,analytic,20,0.8940,0.9146,0.9048,0.6782,0.2332,0.3399,0.6272
750,kernel,20,0.4200,0.4094,0.4112,0.1197,0.5784,0.0810,0.2452
750,knn,20,0.6431,0.6586,0.6570,0.1722,0.1120,0.1002,0.3794
750,linear,20,0.3231,0.3112,0.4114,0.0298,0.6467,0.0565,0.1839
750,mlp,20,0.8733,0.8945,0.8854,0.5735,0.1766,0.2542,0.5744
750,polar2,20,0.8708,0.8896,0.8845,0.4675,0.2539,0.3122,0.6009
750,polar3,20,0.8711,0.8904,0.8835,0.5612,0.2353,0.3142,0.6023
750,polar8,20,0.8543,0.8742,0.8668,0.5061,0.1944,0.2624,0.5683
750,quadratic,20,0.8468,0.8651,0.8641,0.4778,0.2262,0.2634,0.5643
800,altered_knn,20,0.7663,0.7844,0.8024,0.0817,0.1733,0.0902,0.4373
800,analytic,20,0.8941,0.9146,0.9048,0.6783,0.2342,0.3409,0.6277
800,kernel,20,0.4200,0.4094,0.4112,0.1197,0.5783,0.0809,0.2451
800,knn,20,0.6429,0.6584,0.6568,0.1717,0.1109,0.0995,0.3789
800,linear,20,0.3227,0.3107,0.4108,0.0298,0.6471,0.0565,0.1836
800,mlp,20,0.8734,0.8947,0.8856,0.5791,0.1730,0.2508,0.5727
800,polar2,20,0.8707,0.8896,0.8845,0.4645,0.2497,0.3076,0.5986
800,polar3,20,0.8711,0.8905,0.8835,0.5635,0.2323,0.3115,0.6010
800,polar8,20,0.8542,0.8741,0.8666,0.5112,0.1922,0.2605,0.5673
800,quadratic,20,0.8468,0.8652,0.8641,0.4801,0.2245,0.2620,0.5636
850,altered_knn,20,0.7651,0.7831,0.8019,0.0828,0.1779,0.0906,0.4368
850,analytic,20,0.8941,0.9146,0.9048,0.6782,0.2346,0.3413,0.6280
850,kernel,20,0.4200,0.4094,0.4112,0.1198,0.5778,0.0803,0.2448
850,knn,20,0.6426,0.6580,0.6564,0.1714,0.1106,0.0992,0.3786
850,linear,20,0.3223,0.3102,0.4102,0.0298,0.6477,0.0565,0.1834
850,mlp,20,0.8741,0.8954,0.8862,0.5784,0.1724,0.2507,0.5730
850,polar2,20,0.8707,0.8897,0.8845,0.4649,0.2473,0.3055,0.5976
850,polar3,20,0.8710,0.8905,0.8834,0.5636,0.2298,0.3087,0.5996
850,polar8,20,0.8538,0.8737,0.8661,0.5156,0.1901,0.2590,0.5664
850,quadratic,20,0.8470,0.8654,0.8642,0.4834,0.2231,0.2610,0.5632
900,altered_knn,20,0.7638,0.7813,0.8013,0.0821,0.1823,0.0918,0.4365
900,analytic,20,0.8941,0.9146,0.9048,0.6778,0.2351,0.3418,0.6282
900,kernel,20,0.4199,0.4093,0.4111,0.1194,0.5775,0.0800,0.2446
900,knn,20,0.6424,0.6579,0.6562,0.1715,0.1106,0.0992,0.3785
900,linear,20,0.3219,0.3098,0.4096,0.0298,0.6484,0.0566,0.1832
900,mlp,20,0.8738,0.8952,0.8860,0.5755,0.1695,0.2457,0.5704
900,polar2,20,0.8706,0.8897,0.8844,0.4651,0.2455,0.3037,0.5967
900,polar3,20,0.8710,0.8905,0.8834,0.5662,0.2278,0.3069,0.5987
900,polar8,20,0.8538,0.8739,0.8662,0.5127,0.1865,0.2548,0.5643
900,quadratic,20,0.8470,0.8655,0.8642,0.4855,0.2216,0.2596,0.5625
950,altered_knn,20,0.7625,0.7799,0.8009,0.0827,0.1873,0.0922,0.4360
950,analytic,20,0.8941,0.9146,0.9048,0.6770,0.2365,0.3432,0.6289
950,kernel,20,0.4198,0.4093,0.4110,0.1191,0.5771,0.0793,0.2443
950,knn,20,0.6422,0.6576,0.6560,0.1721,0.1107,0.0993,0.3785
950,linear,20,0.3215,0.3094,0.4091,0.0298,0.6488,0.0566,0.1830
950,mlp,20,0.8738,0.8952,0.8860,0.5762,0.1692,0.2455,0.5704
950,polar2,20,0.8706,0.8897,0.8843,0.4656,0.2434,0.3019,0.5958
950,polar3,20,0.8710,0.8906,0.8834,0.5660,0.2252,0.3042,0.5974
950,polar8,20,0.8536,0.8737,0.8660,0.5078,0.1841,0.2515,0.5626
950,quadratic,20,0.8471,0.8656,0.8643,0.4879,0.2204,0.2586,0.5621
1000,altered_knn,20,0.7676,0.7854,0.8034,0.0815,0.1748,0.0934,0.4394
1000,analytic,20,0.8941,0.9146,0.9048,0.6766,0.2374,0.3441,0.6293
1000,kernel,20,0.4198,0.4092,0.4110,0.1193,0.5771,0.0794,0.2443
1000,knn,20,0.6421,0.6575,0.6559,0.1724,0.1107,0.0994,0.3784
1000,linear,20,0.3212,0.3091,0.4087,0.0298,0.6491,0.0565,0.1828
1000,mlp,20,0.8741,0.8956,0.8863,0.5833,0.1675,0.2447,0.5701
1000,polar2,20,0.8704,0.8896,0.8842,0.4640,0.2414,0.2997,0.5946
1000,polar3,20,0.8709,0.8906,0.8833,0.5679,0.2232,0.3019,0.5962
1000,polar8,20,0.8546,0.8746,0.8669,0.5130,0.1872,0.2562,0.5654
1000,quadratic,20,0.8472,0.8657,0.8644,0.4895,0.2192,0.2575,0.5616
