sampler,seed,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,0,4,4,0.0112,polar8_cal,polar,20000,120000,0.7546,0.7540,0.7810,0.0590,0.8060,0.1099,0.4319
ddim,0,4,4,0.0112,knn,knn,50000,300000,0.7822,0.7820,0.8052,0.0637,0.8016,0.1180,0.4500
ddim,0,4,4,0.0112,altered_knn,altered_knn,50000,200000,0.7204,0.7220,0.7335,0.0251,0.5808,0.0481,0.3851
ddim,0,4,4,0.0112,quadratic,quadratic,50000,300000,0.7246,0.7237,0.7587,0.0504,0.8016,0.0949,0.4093
ddim,0,4,4,0.0112,quadratic_cal,quadratic,50000,300000,0.7473,0.7469,0.7697,0.0583,0.7781,0.1084,0.4277
ddim,0,4,4,0.0112,polar8,polar,50000,300000,0.7556,0.7551,0.7818,0.0594,0.8004,0.1105,0.4328
ddim,0,4,4,0.0112,polar8_cal,polar,50000,300000,0.7542,0.7537,0.7806,0.0588,0.8038,0.1095,0.4316
ddim,0,4,4,0.0112,knn,knn,100000,600000,0.7800,0.7797,0.8015,0.0646,0.8038,0.1196,0.4497
ddim,0,4,4,0.0112,altered_knn,altered_knn,100000,400000,0.7175,0.7194,0.7235,0.0237,0.5541,0.0454,0.3824
ddim,0,4,4,0.0112,quadratic,quadratic,100000,600000,0.7425,0.7418,0.7738,0.0531,0.8105,0.0997,0.4207
ddim,0,4,4,0.0112,quadratic_cal,quadratic,100000,600000,0.7578,0.7574,0.7812,0.0590,0.7938,0.1099,0.4337
ddim,0,4,4,0.0112,polar8,polar,100000,600000,0.7556,0.7551,0.7818,0.0595,0.8004,0.1108,0.4329
ddim,0,4,4,0.0112,polar8_cal,polar,100000,600000,0.7539,0.7533,0.7804,0.0587,0.8049,0.1095,0.4314
ddim,0,4,8,0.0116,knn,knn,20000,240000,0.7413,0.7441,0.7480,0.0820,0.4981,0.1408,0.4425
ddim,0,4,8,0.0116,altered_knn,altered_knn,20000,160000,0.6757,0.6792,0.7182,0.0221,0.3764,0.0418,0.3605
ddim,0,4,8,0.0116,quadratic,quadratic,20000,240000,0.7277,0.7298,0.7354,0.0822,0.5430,0.1428,0.4363
ddim,0,4,8,0.0116,quadratic_cal,quadratic,20000,240000,0.7483,0.7517,0.7449,0.1226,0.4651,0.1940,0.4728
ddim,0,4,8,0.0116,polar8,polar,20000,240000,0.7383,0.7412,0.7367,0.1190,0.4900,0.1915,0.4663
ddim,0,4,8,0.0116,polar8_cal,polar,20000,240000,0.7395,0.7425,0.7371,0.1256,0.4878,0.1998,0.4712
ddim,0,4,8,0.0116,knn,knn,50000,600000,0.7426,0.7457,0.7471,0.0887,0.4803,0.1498,0.4477
ddim,0,4,8,0.0116,altered_knn,altered_knn,50000,400000,0.6599,0.6629,0.7050,0.0213,0.4018,0.0404,0.3517
ddim,0,4,8,0.0116,quadratic,quadratic,50000,600000,0.7396,0.7420,0.7490,0.0806,0.5349,0.1401,0.4410
ddim,0,4,8,0.0116,quadratic_cal,quadratic,50000,600000,0.7573,0.7607,0.7557,0.1227,0.4613,0.1939,0.4773
ddim,0,4,8,0.0116,polar8,polar,50000,600000,0.7383,0.7412,0.7363,0.1226,0.4895,0.1961,0.4687
ddim,0,4,8,0.0116,polar8_cal,polar,50000,600000,0.7389,0.7418,0.7364,0.1255,0.4878,0.1996,0.4707
ddim,0,4,8,0.0116,knn,knn,100000,1200000,0.7420,0.7451,0.7444,0.0974,0.4819,0.1620,0.4535
ddim,0,4,8,0.0116,altered_knn,altered_knn,100000,800000,0.6743,0.6782,0.7109,0.0213,0.3434,0.0401,0.3592
ddim,0,4,8,0.0116,quadratic,quadratic,100000,1200000,0.7369,0.7394,0.7488,0.0714,0.5224,0.1257,0.4326
ddim,0,4,8,0.0116,quadratic_cal,quadratic,100000,1200000,0.7573,0.7609,0.7566,0.1157,0.4489,0.1840,0.4724
ddim,0,4,8,0.0116,polar8,polar,100000,1200000,0.7384,0.7413,0.7361,0.1244,0.4862,0.1982,0.4698
ddim,0,4,8,0.0116,polar8_cal,polar,100000,1200000,0.7386,0.7415,0.7362,0.1258,0.4862,0.1999,0.4707
ddim,0,4,16,0.0127,knn,knn,20000,480000,0.7992,0.8047,0.7936,0.1016,0.3734,0.1598,0.4822
ddim,0,4,16,0.0127,altered_knn,altered_knn,20000,320000,0.8040,0.8135,0.7901,0.0462,0.0691,0.0554,0.4344
ddim,0,4,16,0.0127,quadratic,quadratic,20000,480000,0.8015,0.8063,0.7966,0.1064,0.4249,0.1702,0.4883
ddim,0,4,16,0.0127,quadratic_cal,quadratic,20000,480000,0.8164,0.8230,0.7986,0.2333,0.3043,0.2641,0.5436
ddim,0,4,16,0.0127,polar8,polar,20000,480000,0.8350,0.8416,0.8237,0.1747,0.3221,0.2266,0.5341
ddim,0,4,16,0.0127,polar8_cal,polar,20000,480000,0.8379,0.8449,0.8234,0.2370,0.2917,0.2616,0.5532
ddim,0,4,16,0.0127,knn,knn,50000,1200000,0.8153,0.8214,0.8072,0.1110,0.3413,0.1675,0.4944
ddim,0,4,16,0.0127,altered_knn,altered_knn,50000,800000,0.8083,0.8174,0.8000,0.0415,0.1038,0.0593,0.4384
ddim,0,4,16,0.0127,quadratic,quadratic,50000,1200000,0.7953,0.7999,0.8052,0.0683,0.4380,0.1182,0.4591
ddim,0,4,16,0.0127,quadratic_cal,quadratic,50000,1200000,0.8270,0.8344,0.8114,0.1820,0.2540,0.2121,0.5232
ddim,0,4,16,0.0127,polar8,polar,50000,1200000,0.8354,0.8421,0.8233,0.1872,0.3112,0.2338,0.5379
ddim,0,4,16,0.0127,polar8_cal,polar,50000,1200000,0.8372,0.8442,0.8230,0.2285,0.2935,0.2569,0.5506
ddim,0,4,16,0.0127,knn,knn,100000,2400000,0.8223,0.8285,0.8124,0.1253,0.3332,0.1822,0.5054
ddim,0,4,16,0.0127,altered_knn,altered_knn,100000,1600000,0.8161,0.8255,0.8046,0.0463,0.0871,0.0604,0.4430
ddim,0,4,16,0.0127,quadratic,quadratic,100000,2400000,0.7951,0.7998,0.8069,0.0660,0.4330,0.1145,0.4571
ddim,0,4,16,0.0127,quadratic_cal,quadratic,100000,2400000,0.8294,0.8370,0.8144,0.1799,0.2414,0.2061,0.5216
ddim,0,4,16,0.0127,polar8,polar,100000,2400000,0.8358,0.8425,0.8234,0.1933,0.3063,0.2370,0.5398
ddim,0,4,16,0.0127,polar8_cal,polar,100000,2400000,0.8369,0.8439,0.8232,0.2190,0.2935,0.2508,0.5474
ddim,0,8,2,0.0111,knn,knn,20000,60000,0.7319,0.7308,0.7908,0.0558,0.8266,0.1045,0.4177
ddim,0,8,2,0.0111,altered_knn,altered_knn,20000,40000,0.5037,0.5021,0.6821,0.0147,0.6509,0.0287,0.2654
ddim,0,8,2,0.0111,quadratic,quadratic,20000,60000,0.5421,0.5376,0.6755,0.0257,0.9505,0.0500,0.2938
ddim,0,8,2,0.0111,quadratic_cal,quadratic,20000,60000,0.5158,0.5108,0.6552,0.0241,0.9572,0.0469,0.2789
ddim,0,8,2,0.0111,polar8,polar,20000,60000,0.5478,0.5433,0.6873,0.0252,0.9550,0.0491,0.2962
ddim,0,8,2,0.0111,polar8_cal,polar,20000,60000,0.5296,0.5248,0.6765,0.0238,0.9572,0.0465,0.2857
ddim,0,8,2,0.0111,knn,knn,50000,150000,0.7057,0.7039,0.7770,0.0488,0.8716,0.0925,0.3982
ddim,0,8,2,0.0111,altered_knn,altered_knn,50000,100000,0.5061,0.5045,0.6848,0.0145,0.6441,0.0284,0.2665
ddim,0,8,2,0.0111,quadratic,quadratic,50000,150000,0.5416,0.5370,0.6756,0.0256,0.9505,0.0499,0.2934
ddim,0,8,2,0.0111,quadratic_cal,quadratic,50000,150000,0.5157,0.5107,0.6557,0.0240,0.9572,0.0469,0.2788
ddim,0,8,2,0.0111,polar8,polar,50000,150000,0.5458,0.5412,0.6858,0.0251,0.9550,0.0489,0.2951
ddim,0,8,2,0.0111,polar8_cal,polar,50000,150000,0.5278,0.5231,0.6750,0.0237,0.9550,0.0463,0.2847
ddim,0,8,2,0.0111,knn,knn,100000,300000,0.6985,0.6965,0.7761,0.0454,0.8784,0.0864,0.3914
ddim,0,8,2,0.0111,altered_knn,altered_knn,100000,200000,0.5057,0.5040,0.6848,0.0147,0.6554,0.0288,0.2664
ddim,0,8,2,0.0111,quadratic,quadratic,100000,300000,0.5544,0.5499,0.6869,0.0263,0.9505,0.0512,0.3006
ddim,0,8,2,0.0111,quadratic_cal,quadratic,100000,300000,0.5197,0.5148,0.6604,0.0241,0.9572,0.0470,0.2809
ddim,0,8,2,0.0111,polar8,polar,100000,300000,0.5430,0.5384,0.6837,0.0249,0.9550,0.0486,0.2935
ddim,0,8,2,0.0111,polar8_cal,polar,100000,300000,0.5294,0.5246,0.6757,0.0239,0.9550,0.0466,0.2856
ddim,0,8,4,0.0107,knn,knn,20000,120000,0.7646,0.7650,0.7896,0.0815,0.7302,0.1467,0.4558
ddim,0,8,4,0.0107,altered_knn,altered_knn,20000,80000,0.5394,0.5376,0.6854,0.0167,0.7035,0.0325,0.2851
