sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,4,2,0.0260,knn,knn,10000,30000,0.9266,0.9467,0.9371,0.7398,0.1750,0.2830,0.6149
flow,4,2,0.0260,altered_knn,altered_knn,10000,20000,0.9293,0.9533,0.9475,0.0532,0.0288,0.0374,0.4953
flow,4,2,0.0260,polar3,polar,10000,30000,0.9699,0.9867,0.9788,0.8469,0.3404,0.4856,0.7361
flow,4,2,0.0260,knn,knn,20000,60000,0.9349,0.9546,0.9453,0.7556,0.1962,0.3115,0.6330
flow,4,2,0.0260,altered_knn,altered_knn,20000,40000,0.9226,0.9460,0.9464,0.0466,0.0481,0.0473,0.4966
flow,4,2,0.0260,polar3,polar,20000,60000,0.9700,0.9869,0.9789,0.8634,0.3404,0.4883,0.7376
flow,4,2,0.0260,knn,knn,50000,150000,0.9448,0.9643,0.9550,0.7902,0.2173,0.3409,0.6526
flow,4,2,0.0260,altered_knn,altered_knn,50000,100000,0.8805,0.8987,0.9338,0.0519,0.1981,0.0822,0.4905
flow,4,2,0.0260,polar3,polar,50000,150000,0.9701,0.9868,0.9790,0.8565,0.3442,0.4911,0.7389
flow,4,2,0.0260,knn,knn,100000,300000,0.9503,0.9695,0.9603,0.8299,0.2346,0.3658,0.6676
flow,4,2,0.0260,altered_knn,altered_knn,100000,200000,0.9337,0.9571,0.9544,0.0735,0.0577,0.0647,0.5109
flow,4,2,0.0260,polar3,polar,100000,300000,0.9701,0.9867,0.9790,0.8538,0.3481,0.4945,0.7406
flow,4,4,0.0201,knn,knn,2000,12000,0.8016,0.8132,0.8123,0.3504,0.2388,0.2840,0.5486
flow,4,4,0.0201,altered_knn,altered_knn,2000,8000,0.8365,0.8516,0.8582,0.0596,0.1020,0.0752,0.4634
flow,4,4,0.0201,polar3,polar,2000,12000,0.9008,0.9119,0.9096,0.4725,0.3632,0.4107,0.6613
flow,4,4,0.0201,knn,knn,5000,30000,0.8314,0.8440,0.8408,0.3803,0.2214,0.2799,0.5619
flow,4,4,0.0201,altered_knn,altered_knn,5000,20000,0.8498,0.8660,0.8669,0.0563,0.0597,0.0580,0.4620
flow,4,4,0.0201,polar3,polar,5000,30000,0.9017,0.9127,0.9100,0.5105,0.3632,0.4244,0.6686
flow,4,4,0.0201,knn,knn,10000,60000,0.8479,0.8603,0.8574,0.3929,0.2463,0.3028,0.5815
flow,4,4,0.0201,altered_knn,altered_knn,10000,40000,0.8230,0.8360,0.8653,0.0453,0.1940,0.0735,0.4547
flow,4,4,0.0201,polar3,polar,10000,60000,0.9019,0.9127,0.9100,0.5208,0.3731,0.4348,0.6738
flow,4,4,0.0201,knn,knn,20000,120000,0.8640,0.8767,0.8732,0.4213,0.2463,0.3108,0.5938
flow,4,4,0.0201,altered_knn,altered_knn,20000,80000,0.8632,0.8801,0.8775,0.0582,0.0398,0.0473,0.4637
flow,4,4,0.0201,polar3,polar,20000,120000,0.9032,0.9141,0.9110,0.5519,0.3706,0.4435,0.6788
flow,4,4,0.0201,knn,knn,50000,300000,0.8844,0.8972,0.8933,0.4730,0.2612,0.3365,0.6169
flow,4,4,0.0201,altered_knn,altered_knn,50000,200000,0.8711,0.8884,0.8834,0.0678,0.0299,0.0415,0.4649
flow,4,4,0.0201,polar3,polar,50000,300000,0.9039,0.9149,0.9115,0.5731,0.3706,0.4502,0.6825
flow,4,4,0.0201,knn,knn,100000,600000,0.8928,0.9049,0.9011,0.5214,0.3035,0.3836,0.6443
flow,4,4,0.0201,altered_knn,altered_knn,100000,400000,0.8497,0.8646,0.8836,0.0408,0.1269,0.0617,0.4631
flow,4,4,0.0201,polar3,polar,100000,600000,0.9043,0.9152,0.9121,0.5539,0.3706,0.4441,0.6797
flow,4,8,0.0146,knn,knn,2000,24000,0.7721,0.7789,0.7923,0.1024,0.3208,0.1552,0.4671
flow,4,8,0.0146,altered_knn,altered_knn,2000,16000,0.8302,0.8398,0.8649,0.0380,0.1843,0.0630,0.4514
flow,4,8,0.0146,polar3,polar,2000,24000,0.9312,0.9387,0.9430,0.2637,0.4266,0.3259,0.6323
flow,4,8,0.0146,knn,knn,5000,60000,0.8129,0.8194,0.8306,0.1402,0.3788,0.2046,0.5120
flow,4,8,0.0146,altered_knn,altered_knn,5000,40000,0.8219,0.8295,0.8722,0.0421,0.3174,0.0743,0.4519
flow,4,8,0.0146,polar3,polar,5000,60000,0.9338,0.9413,0.9455,0.2714,0.4334,0.3338,0.6375
flow,4,8,0.0146,knn,knn,10000,120000,0.8386,0.8462,0.8558,0.1366,0.3276,0.1928,0.5195
flow,4,8,0.0146,altered_knn,altered_knn,10000,80000,0.8519,0.8611,0.8853,0.0501,0.2321,0.0824,0.4718
flow,4,8,0.0146,polar3,polar,10000,120000,0.9344,0.9418,0.9460,0.2756,0.4403,0.3390,0.6404
flow,4,8,0.0146,knn,knn,20000,240000,0.8610,0.8687,0.8772,0.1562,0.3481,0.2156,0.5422
flow,4,8,0.0146,altered_knn,altered_knn,20000,160000,0.8013,0.8053,0.8736,0.0464,0.5324,0.0854,0.4454
flow,4,8,0.0146,polar3,polar,20000,240000,0.9336,0.9412,0.9453,0.2700,0.4266,0.3307,0.6359
flow,4,8,0.0146,knn,knn,50000,600000,0.8895,0.8978,0.9027,0.1968,0.3345,0.2478,0.5728
flow,4,8,0.0146,altered_knn,altered_knn,50000,400000,0.8916,0.9036,0.9053,0.0663,0.0819,0.0733,0.4884
flow,4,8,0.0146,polar3,polar,50000,600000,0.9365,0.9442,0.9476,0.2815,0.4198,0.3370,0.6406
flow,4,8,0.0146,knn,knn,100000,1200000,0.9068,0.9149,0.9186,0.2366,0.3618,0.2861,0.6005
flow,4,8,0.0146,altered_knn,altered_knn,100000,800000,0.9004,0.9128,0.9133,0.0649,0.0683,0.0666,0.4897
flow,4,8,0.0146,polar3,polar,100000,1200000,0.9360,0.9437,0.9470,0.2844,0.4164,0.3380,0.6408
flow,4,16,0.0269,knn,knn,2000,48000,0.7505,0.7636,0.7748,0.1345,0.2770,0.1810,0.4723
flow,4,16,0.0269,altered_knn,altered_knn,2000,32000,0.8280,0.8488,0.8464,0.0928,0.0762,0.0837,0.4663
flow,4,16,0.0269,polar3,polar,2000,48000,0.8939,0.9116,0.9114,0.2532,0.2565,0.2548,0.5832
flow,4,16,0.0269,knn,knn,5000,120000,0.7962,0.8113,0.8185,0.1531,0.2491,0.1897,0.5005
flow,4,16,0.0269,altered_knn,altered_knn,5000,80000,0.8312,0.8494,0.8600,0.0917,0.1747,0.1203,0.4848
flow,4,16,0.0269,polar3,polar,5000,120000,0.8957,0.9134,0.9131,0.2550,0.2584,0.2567,0.5850
flow,4,16,0.0269,knn,knn,10000,240000,0.8205,0.8366,0.8414,0.1684,0.2379,0.1972,0.5169
flow,4,16,0.0269,altered_knn,altered_knn,10000,160000,0.8487,0.8707,0.8634,0.1330,0.0539,0.0767,0.4737
flow,4,16,0.0269,polar3,polar,10000,240000,0.8962,0.9139,0.9134,0.2579,0.2565,0.2572,0.5856
flow,4,16,0.0269,knn,knn,20000,480000,0.8395,0.8561,0.8589,0.1955,0.2398,0.2154,0.5357
flow,4,16,0.0269,altered_knn,altered_knn,20000,320000,0.8535,0.8743,0.8731,0.1093,0.1022,0.1057,0.4900
flow,4,16,0.0269,polar3,polar,20000,480000,0.8969,0.9148,0.9137,0.2617,0.2491,0.2552,0.5850
flow,4,16,0.0269,knn,knn,50000,1200000,0.8630,0.8806,0.8806,0.2245,0.2286,0.2265,0.5536
flow,4,16,0.0269,altered_knn,altered_knn,50000,800000,0.8607,0.8811,0.8810,0.1209,0.1227,0.1218,0.5014
flow,4,16,0.0269,polar3,polar,50000,1200000,0.8976,0.9159,0.9141,0.2613,0.2361,0.2480,0.5820
flow,4,16,0.0269,knn,knn,100000,2400000,0.8748,0.8930,0.8913,0.2453,0.2175,0.2305,0.5618
flow,4,16,0.0269,altered_knn,altered_knn,100000,1600000,0.8699,0.8915,0.8869,0.1335,0.0874,0.1056,0.4986
flow,4,16,0.0269,polar3,polar,100000,2400000,0.8979,0.9166,0.9145,0.2547,0.2249,0.2389,0.5777
flow,4,32,0.0319,knn,knn,2000,96000,0.7318,0.7450,0.7580,0.1605,0.3323,0.2164,0.4807
flow,4,32,0.0319,altered_knn,altered_knn,2000,64000,0.8107,0.8327,0.8320,0.1482,0.1426,0.1454,0.4890
flow,4,32,0.0319,polar3,polar,2000,96000,0.8869,0.9054,0.9080,0.2790,0.3245,0.3000,0.6027
flow,4,32,0.0319,knn,knn,5000,240000,0.7763,0.7913,0.8005,0.1912,0.3213,0.2398,0.5156
flow,4,32,0.0319,altered_knn,altered_knn,5000,160000,0.8260,0.8477,0.8478,0.1638,0.1661,0.1650,0.5064
flow,4,32,0.0319,polar3,polar,5000,240000,0.8877,0.9063,0.9083,0.2865,0.3229,0.3036,0.6050
flow,4,32,0.0319,knn,knn,10000,480000,0.8053,0.8218,0.8281,0.2084,0.3041,0.2473,0.5346
