sampler,seed,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,0,4,4,0.0100,polar8,polar,50000,300000,0.9905,0.9934,0.9923,0.6995,0.7039,0.7017,0.8475
flow,0,4,4,0.0100,polar8_cal,polar,50000,300000,0.9908,0.9937,0.9924,0.7300,0.6989,0.7141,0.8539
flow,0,4,4,0.0100,knn,knn,100000,600000,0.9296,0.9340,0.9255,0.4463,0.4956,0.4697,0.7018
flow,0,4,4,0.0100,altered_knn,altered_knn,100000,400000,0.9069,0.9147,0.9157,0.0406,0.1292,0.0618,0.4883
flow,0,4,4,0.0100,quadratic,quadratic,100000,600000,0.9393,0.9434,0.9369,0.5066,0.5282,0.5172,0.7303
flow,0,4,4,0.0100,quadratic_cal,quadratic,100000,600000,0.9401,0.9448,0.9373,0.5676,0.4743,0.5167,0.7308
flow,0,4,4,0.0100,polar8,polar,100000,600000,0.9912,0.9940,0.9929,0.7277,0.7077,0.7176,0.8558
flow,0,4,4,0.0100,polar8_cal,polar,100000,600000,0.9912,0.9941,0.9930,0.7430,0.7039,0.7229,0.8585
flow,0,4,8,0.0118,knn,knn,20000,240000,0.8750,0.8804,0.8840,0.1740,0.4246,0.2469,0.5636
flow,0,4,8,0.0118,altered_knn,altered_knn,20000,160000,0.8622,0.8693,0.8943,0.0425,0.2642,0.0732,0.4713
flow,0,4,8,0.0118,quadratic,quadratic,20000,240000,0.8887,0.8940,0.8947,0.2409,0.4463,0.3129,0.6034
flow,0,4,8,0.0118,quadratic_cal,quadratic,20000,240000,0.8972,0.9039,0.8985,0.4545,0.3335,0.3847,0.6443
flow,0,4,8,0.0118,polar8,polar,20000,240000,0.9781,0.9825,0.9834,0.4550,0.6130,0.5223,0.7524
flow,0,4,8,0.0118,polar8_cal,polar,20000,240000,0.9807,0.9863,0.9840,0.6523,0.5204,0.5789,0.7826
flow,0,4,8,0.0118,knn,knn,50000,600000,0.9034,0.9089,0.9115,0.2123,0.4415,0.2867,0.5978
flow,0,4,8,0.0118,altered_knn,altered_knn,50000,400000,0.8588,0.8644,0.9037,0.0436,0.3822,0.0783,0.4714
flow,0,4,8,0.0118,quadratic,quadratic,50000,600000,0.9016,0.9072,0.9075,0.2602,0.4320,0.3248,0.6160
flow,0,4,8,0.0118,quadratic_cal,quadratic,50000,600000,0.9075,0.9145,0.9095,0.4628,0.3197,0.3782,0.6464
flow,0,4,8,0.0118,polar8,polar,50000,600000,0.9804,0.9849,0.9852,0.4987,0.6051,0.5468,0.7658
flow,0,4,8,0.0118,polar8_cal,polar,50000,600000,0.9814,0.9863,0.9855,0.5583,0.5728,0.5655,0.7759
flow,0,4,8,0.0118,knn,knn,100000,1200000,0.9215,0.9270,0.9286,0.2519,0.4590,0.3253,0.6261
flow,0,4,8,0.0118,altered_knn,altered_knn,100000,800000,0.9033,0.9120,0.9217,0.0538,0.1752,0.0824,0.4972
flow,0,4,8,0.0118,quadratic,quadratic,100000,1200000,0.9115,0.9173,0.9189,0.2228,0.4267,0.2927,0.6050
flow,0,4,8,0.0118,quadratic_cal,quadratic,100000,1200000,0.9183,0.9255,0.9209,0.4050,0.3192,0.3570,0.6413
flow,0,4,8,0.0118,polar8,polar,100000,1200000,0.9814,0.9860,0.9859,0.5228,0.6014,0.5593,0.7726
flow,0,4,8,0.0118,polar8_cal,polar,100000,1200000,0.9828,0.9878,0.9863,0.6235,0.5611,0.5907,0.7892
flow,0,4,16,0.0137,knn,knn,20000,480000,0.8646,0.8709,0.8626,0.1743,0.4122,0.2450,0.5580
flow,0,4,16,0.0137,altered_knn,altered_knn,20000,320000,0.8802,0.8916,0.8711,0.0945,0.0660,0.0777,0.4846
flow,0,4,16,0.0137,quadratic,quadratic,20000,480000,0.8744,0.8806,0.8764,0.1296,0.4272,0.1989,0.5398
flow,0,4,16,0.0137,quadratic_cal,quadratic,20000,480000,0.8957,0.9046,0.8825,0.3820,0.2589,0.3086,0.6066
flow,0,4,16,0.0137,polar8,polar,20000,480000,0.9723,0.9785,0.9754,0.4251,0.5257,0.4700,0.7243
flow,0,4,16,0.0137,polar8_cal,polar,20000,480000,0.9751,0.9833,0.9751,0.6623,0.3876,0.4890,0.7362
flow,0,4,16,0.0137,knn,knn,50000,1200000,0.8949,0.9015,0.8922,0.2176,0.4220,0.2871,0.5943
flow,0,4,16,0.0137,altered_knn,altered_knn,50000,800000,0.8944,0.9050,0.8912,0.0954,0.1322,0.1108,0.5079
flow,0,4,16,0.0137,quadratic,quadratic,50000,1200000,0.8818,0.8881,0.8921,0.1043,0.4263,0.1676,0.5278
flow,0,4,16,0.0137,quadratic_cal,quadratic,50000,1200000,0.9125,0.9225,0.9019,0.3633,0.1986,0.2568,0.5896
flow,0,4,16,0.0137,polar8,polar,50000,1200000,0.9744,0.9808,0.9774,0.4563,0.5134,0.4832,0.7320
flow,0,4,16,0.0137,polar8_cal,polar,50000,1200000,0.9765,0.9843,0.9770,0.6494,0.4172,0.5080,0.7462
flow,0,4,16,0.0137,knn,knn,100000,2400000,0.9142,0.9210,0.9120,0.2527,0.4274,0.3176,0.6193
flow,0,4,16,0.0137,altered_knn,altered_knn,100000,1600000,0.9071,0.9178,0.9062,0.0972,0.1417,0.1153,0.5165
flow,0,4,16,0.0137,quadratic,quadratic,100000,2400000,0.8865,0.8929,0.8980,0.1049,0.4261,0.1683,0.5306
flow,0,4,16,0.0137,quadratic_cal,quadratic,100000,2400000,0.9167,0.9267,0.9073,0.3426,0.1970,0.2501,0.5884
flow,0,4,16,0.0137,polar8,polar,100000,2400000,0.9754,0.9819,0.9784,0.4794,0.5082,0.4934,0.7376
flow,0,4,16,0.0137,polar8_cal,polar,100000,2400000,0.9770,0.9847,0.9781,0.6433,0.4238,0.5110,0.7478
flow,0,8,2,0.0095,knn,knn,20000,60000,0.8506,0.8581,0.8437,0.7073,0.0761,0.1374,0.4978
flow,0,8,2,0.0095,altered_knn,altered_knn,20000,40000,0.8877,0.8945,0.9148,0.0296,0.1864,0.0511,0.4728
flow,0,8,2,0.0095,quadratic,quadratic,20000,60000,0.9493,0.9538,0.9469,0.9333,0.4777,0.6319,0.7929
flow,0,8,2,0.0095,quadratic_cal,quadratic,20000,60000,0.9485,0.9510,0.9465,0.6796,0.6903,0.6849,0.8180
flow,0,8,2,0.0095,polar8,polar,20000,60000,0.9937,0.9956,0.9946,0.8714,0.8005,0.8345,0.9150
flow,0,8,2,0.0095,polar8_cal,polar,20000,60000,0.9936,0.9954,0.9946,0.8370,0.8084,0.8224,0.9089
flow,0,8,2,0.0095,knn,knn,50000,150000,0.8682,0.8756,0.8615,0.8261,0.0997,0.1780,0.5268
flow,0,8,2,0.0095,altered_knn,altered_knn,50000,100000,0.8994,0.9066,0.9237,0.0288,0.1575,0.0487,0.4776
flow,0,8,2,0.0095,quadratic,quadratic,50000,150000,0.9508,0.9555,0.9487,0.9323,0.4698,0.6248,0.7901
flow,0,8,2,0.0095,quadratic_cal,quadratic,50000,150000,0.9502,0.9527,0.9482,0.6821,0.6982,0.6900,0.8213
flow,0,8,2,0.0095,polar8,polar,50000,150000,0.9947,0.9965,0.9957,0.8790,0.8005,0.8379,0.9172
flow,0,8,2,0.0095,polar8_cal,polar,50000,150000,0.9945,0.9962,0.9957,0.8369,0.8215,0.8291,0.9127
flow,0,8,2,0.0095,knn,knn,100000,300000,0.8756,0.8829,0.8693,0.8519,0.1207,0.2115,0.5472
flow,0,8,2,0.0095,altered_knn,altered_knn,100000,200000,0.9089,0.9163,0.9289,0.0297,0.1339,0.0486,0.4824
flow,0,8,2,0.0095,quadratic,quadratic,100000,300000,0.9641,0.9687,0.9630,0.9257,0.4908,0.6415,0.8051
flow,0,8,2,0.0095,quadratic_cal,quadratic,100000,300000,0.9638,0.9663,0.9627,0.7045,0.7008,0.7026,0.8345
flow,0,8,2,0.0095,polar8,polar,100000,300000,0.9948,0.9966,0.9959,0.8652,0.8084,0.8358,0.9162
flow,0,8,2,0.0095,polar8_cal,polar,100000,300000,0.9948,0.9964,0.9959,0.8422,0.8268,0.8344,0.9154
flow,0,8,4,0.0111,knn,knn,20000,120000,0.7152,0.7215,0.7126,0.3490,0.1591,0.2186,0.4700
flow,0,8,4,0.0111,altered_knn,altered_knn,20000,80000,0.8442,0.8525,0.8561,0.0305,0.0948,0.0461,0.4493
flow,0,8,4,0.0111,quadratic,quadratic,20000,120000,0.9226,0.9269,0.9199,0.7585,0.5316,0.6251,0.7760
flow,0,8,4,0.0111,quadratic_cal,quadratic,20000,120000,0.9225,0.9269,0.9199,0.7504,0.5327,0.6231,0.7750
flow,0,8,4,0.0111,polar8,polar,20000,120000,0.9858,0.9888,0.9865,0.8322,0.7111,0.7669,0.8779
flow,0,8,4,0.0111,polar8_cal,polar,20000,120000,0.9860,0.9892,0.9866,0.8683,0.6998,0.7750,0.8821
flow,0,8,4,0.0111,knn,knn,50000,300000,0.7391,0.7451,0.7351,0.4447,0.1998,0.2757,0.5104
flow,0,8,4,0.0111,altered_knn,altered_knn,50000,200000,0.8645,0.8739,0.8670,0.0337,0.0327,0.0332,0.4535
flow,0,8,4,0.0111,quadratic,quadratic,50000,300000,0.9315,0.9361,0.9289,0.7911,0.5214,0.6286,0.7823
flow,0,8,4,0.0111,quadratic_cal,quadratic,50000,300000,0.9316,0.9360,0.9290,0.7848,0.5350,0.6362,0.7861
flow,0,8,4,0.0111,polar8,polar,50000,300000,0.9878,0.9908,0.9888,0.8477,0.7223,0.7800,0.8854
flow,0,8,4,0.0111,polar8_cal,polar,50000,300000,0.9879,0.9909,0.9889,0.8533,0.7223,0.7824,0.8866
flow,0,8,4,0.0111,knn,knn,100000,600000,0.7536,0.7598,0.7497,0.4633,0.2065,0.2857,0.5227
flow,0,8,4,0.0111,altered_knn,altered_knn,100000,400000,0.8585,0.8664,0.8743,0.0407,0.1546,0.0644,0.4654
flow,0,8,4,0.0111,quadratic,quadratic,100000,600000,0.9518,0.9567,0.9504,0.8182,0.5079,0.6267,0.7917
flow,0,8,4,0.0111,quadratic_cal,quadratic,100000,600000,0.9517,0.9564,0.9504,0.7840,0.5406,0.6399,0.7982
flow,0,8,4,0.0111,polar8,polar,100000,600000,0.9883,0.9912,0.9892,0.8573,0.7325,0.7900,0.8906
flow,0,8,4,0.0111,polar8_cal,polar,100000,600000,0.9882,0.9911,0.9892,0.8499,0.7348,0.7881,0.8896
flow,0,8,8,0.0127,knn,knn,20000,240000,0.6662,0.6717,0.6708,0.1682,0.2399,0.1978,0.4347
flow,0,8,8,0.0127,altered_knn,altered_knn,20000,160000,0.8197,0.8286,0.8352,0.0487,0.1254,0.0702,0.4494
flow,0,8,8,0.0127,quadratic,quadratic,20000,240000,0.9180,0.9233,0.9212,0.5946,0.5118,0.5501,0.7367
flow,0,8,8,0.0127,quadratic_cal,quadratic,20000,240000,0.9181,0.9234,0.9212,0.5987,0.5089,0.5502,0.7368
flow,0,8,8,0.0127,polar8,polar,20000,240000,0.9757,0.9805,0.9792,0.7145,0.6002,0.6524,0.8165
flow,0,8,8,0.0127,polar8_cal,polar,20000,240000,0.9754,0.9801,0.9791,0.6732,0.6120,0.6412,0.8106
flow,0,8,8,0.0127,knn,knn,50000,600000,0.6957,0.7015,0.6997,0.1955,0.2394,0.2152,0.4584
flow,0,8,8,0.0127,altered_knn,altered_knn,50000,400000,0.8108,0.8183,0.8450,0.0374,0.2275,0.0642,0.4413
flow,0,8,8,0.0127,quadratic,quadratic,50000,600000,0.9419,0.9477,0.9448,0.6822,0.4852,0.5671,0.7574
flow,0,8,8,0.0127,quadratic_cal,quadratic,50000,600000,0.9413,0.9465,0.9445,0.6153,0.5296,0.5692,0.7579
flow,0,8,8,0.0127,polar8,polar,50000,600000,0.9787,0.9834,0.9820,0.7399,0.6081,0.6676,0.8255
flow,0,8,8,0.0127,polar8_cal,polar,50000,600000,0.9783,0.9828,0.9820,0.6861,0.6278,0.6557,0.8192
flow,0,8,8,0.0127,knn,knn,100000,1200000,0.7161,0.7220,0.7197,0.2294,0.2517,0.2401,0.4810
flow,0,8,8,0.0127,altered_knn,altered_knn,100000,800000,0.7670,0.7715,0.8395,0.0305,0.4112,0.0568,0.4142
flow,0,8,8,0.0127,quadratic,quadratic,100000,1200000,0.9504,0.9566,0.9536,0.6505,0.4694,0.5453,0.7509
flow,0,8,8,0.0127,quadratic_cal,quadratic,100000,1200000,0.9496,0.9550,0.9533,0.5771,0.5267,0.5507,0.7529
flow,0,8,8,0.0127,polar8,polar,100000,1200000,0.9794,0.9842,0.9827,0.7525,0.6061,0.6714,0.8278
flow,0,8,8,0.0127,polar8_cal,polar,100000,1200000,0.9794,0.9842,0.9827,0.7511,0.6061,0.6709,0.8275
flow,0,8,16,0.0140,knn,knn,20000,480000,0.6044,0.6093,0.6068,0.0952,0.2616,0.1396,0.3745
flow,0,8,16,0.0140,altered_knn,altered_knn,20000,320000,0.7686,0.7779,0.7682,0.0521,0.1155,0.0719,0.4249
flow,0,8,16,0.0140,quadratic,quadratic,20000,480000,0.9073,0.9143,0.9029,0.5215,0.4210,0.4659,0.6901
flow,0,8,16,0.0140,quadratic_cal,quadratic,20000,480000,0.9076,0.9146,0.9030,0.5376,0.4125,0.4668,0.6907
flow,0,8,16,0.0140,polar8,polar,20000,480000,0.9662,0.9729,0.9688,0.6050,0.4964,0.5454,0.7591
flow,0,8,16,0.0140,polar8_cal,polar,20000,480000,0.9663,0.9730,0.9688,0.6132,0.4933,0.5468,0.7599
flow,0,8,16,0.0140,knn,knn,50000,1200000,0.6364,0.6417,0.6372,0.1121,0.2647,0.1575,0.3996
flow,0,8,16,0.0140,altered_knn,altered_knn,50000,800000,0.7828,0.7920,0.7853,0.0512,0.1318,0.0737,0.4329
flow,0,8,16,0.0140,quadratic,quadratic,50000,1200000,0.9181,0.9254,0.9160,0.5264,0.4063,0.4586,0.6920
flow,0,8,16,0.0140,quadratic_cal,quadratic,50000,1200000,0.9185,0.9261,0.9161,0.5611,0.3851,0.4568,0.6914
flow,0,8,16,0.0140,polar8,polar,50000,1200000,0.9688,0.9755,0.9713,0.6320,0.4971,0.5565,0.7660
flow,0,8,16,0.0140,polar8_cal,polar,50000,1200000,0.9688,0.9756,0.9713,0.6395,0.4933,0.5570,0.7663
flow,0,8,16,0.0140,knn,knn,100000,2400000,0.6599,0.6652,0.6605,0.1357,0.2863,0.1841,0.4246
flow,0,8,16,0.0140,altered_knn,altered_knn,100000,1600000,0.7923,0.8014,0.7966,0.0529,0.1474,0.0779,0.4397
flow,0,8,16,0.0140,quadratic,quadratic,100000,2400000,0.9234,0.9307,0.9223,0.5001,0.4041,0.4470,0.6889
flow,0,8,16,0.0140,quadratic_cal,quadratic,100000,2400000,0.9240,0.9318,0.9224,0.5522,0.3736,0.4456,0.6887
flow,0,8,16,0.0140,polar8,polar,100000,2400000,0.9704,0.9772,0.9729,0.6535,0.4984,0.5655,0.7713
flow,0,8,16,0.0140,polar8_cal,polar,100000,2400000,0.9706,0.9775,0.9729,0.6843,0.4855,0.5680,0.7728
flow,0,16,2,0.0087,knn,knn,20000,60000,0.7870,0.7938,0.7810,0.2500,0.0029,0.0057,0.3998
flow,0,16,2,0.0087,altered_knn,altered_knn,20000,40000,0.6613,0.6621,0.7940,0.0148,0.5694,0.0289,0.3455
flow,0,16,2,0.0087,quadratic,quadratic,20000,60000,0.9367,0.9411,0.9337,0.9551,0.4306,0.5936,0.7674
flow,0,16,2,0.0087,quadratic_cal,quadratic,20000,60000,0.9356,0.9372,0.9332,0.6018,0.7601,0.6718,0.8045
flow,0,16,2,0.0087,polar8,polar,20000,60000,0.9869,0.9880,0.9900,0.5464,0.8671,0.6704,0.8292
flow,0,16,2,0.0087,polar8_cal,polar,20000,60000,0.9894,0.9907,0.9902,0.7719,0.8410,0.8050,0.8978
flow,0,16,2,0.0087,knn,knn,50000,150000,0.7964,0.8031,0.7901,0.6667,0.0289,0.0554,0.4292
flow,0,16,2,0.0087,altered_knn,altered_knn,50000,100000,0.8657,0.8719,0.8947,0.0202,0.1561,0.0358,0.4538
flow,0,16,2,0.0087,quadratic,quadratic,50000,150000,0.9365,0.9410,0.9336,0.9545,0.4249,0.5880,0.7645
