process,d,K,T_train,hall_gt,T,n_anchors,roundtrip_acc,model,arch,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,4,16,150,0.0287,550,12000,0.9643,quadratic,quadratic,0.8626,0.8791,0.8872,0.1878,0.3049,0.2324,0.5558
flow,4,16,150,0.0287,550,12000,0.9643,polar2,polar,0.8862,0.9046,0.9034,0.2898,0.2666,0.2777,0.5911
flow,4,16,150,0.0287,550,12000,0.9643,polar3,polar,0.8853,0.9041,0.9025,0.2857,0.2509,0.2672,0.5856
flow,4,16,150,0.0287,550,12000,0.9643,polar8,polar,0.8926,0.9120,0.9077,0.3409,0.2369,0.2795,0.5958
flow,4,16,150,0.0287,550,12000,0.9643,mlp,mlp,0.8954,0.9156,0.9099,0.3653,0.2125,0.2687,0.5922
flow,8,2,150,0.0150,550,1500,0.9953,analytic,analytic,0.9722,0.9807,0.9774,0.7530,0.4153,0.5353,0.7580
flow,8,2,150,0.0150,550,1500,0.9953,knn,knn,0.7695,0.7811,0.7749,0.5556,0.0166,0.0323,0.4067
flow,8,2,150,0.0150,550,1500,0.9953,altered_knn,altered_knn,0.8307,0.8388,0.8849,0.0382,0.2990,0.0678,0.4533
flow,8,2,150,0.0150,550,1500,0.9953,kernel,kernel,0.9235,0.9377,0.9306,0.0000,0.0000,0.0000,0.4688
flow,8,2,150,0.0150,550,1500,0.9953,linear,linear,0.7009,0.7056,0.8224,0.0200,0.3920,0.0381,0.3719
flow,8,2,150,0.0150,550,1500,0.9953,quadratic,quadratic,0.9682,0.9794,0.9743,0.7579,0.2392,0.3636,0.6715
flow,8,2,150,0.0150,550,1500,0.9953,polar2,polar,0.9693,0.9784,0.9770,0.4571,0.3721,0.4103,0.6943
flow,8,2,150,0.0150,550,1500,0.9953,polar3,polar,0.9606,0.9707,0.9664,0.7222,0.3023,0.4262,0.6985
flow,8,2,150,0.0150,550,1500,0.9953,polar8,polar,0.9228,0.9332,0.9287,0.6789,0.2458,0.3610,0.6471
flow,8,2,150,0.0150,550,1500,0.9953,mlp,mlp,0.9664,0.9773,0.9724,0.7476,0.2558,0.3812,0.6792
flow,8,4,150,0.0272,550,3000,0.9847,analytic,analytic,0.9252,0.9437,0.9346,0.7912,0.2647,0.3967,0.6702
flow,8,4,150,0.0272,550,3000,0.9847,knn,knn,0.6258,0.6424,0.6372,0.2464,0.0312,0.0555,0.3489
flow,8,4,150,0.0272,550,3000,0.9847,altered_knn,altered_knn,0.8139,0.8342,0.8331,0.0939,0.0882,0.0910,0.4626
flow,8,4,150,0.0272,550,3000,0.9847,kernel,kernel,0.8526,0.8765,0.8646,0.0000,0.0000,0.0000,0.4382
flow,8,4,150,0.0272,550,3000,0.9847,linear,linear,0.3107,0.3009,0.4507,0.0258,0.6599,0.0497,0.1753
flow,8,4,150,0.0272,550,3000,0.9847,quadratic,quadratic,0.9244,0.9448,0.9347,0.8492,0.1967,0.3194,0.6321
flow,8,4,150,0.0272,550,3000,0.9847,polar2,polar,0.9207,0.9392,0.9325,0.5128,0.2574,0.3427,0.6410
