sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
ddim,4,4,3,0.0108,0.0003,knn,knn,20000,120000,0.9056,0.0074,0.9107,0.0073,0.9120,0.0088,0.3356,0.0700,0.4423,0.0132,0.3773,0.0418,0.6440,0.0175
ddim,4,4,3,0.0108,0.0003,altered_knn,altered_knn,20000,80000,0.8999,0.0151,0.9084,0.0163,0.9186,0.0072,0.0567,0.0227,0.1273,0.1006,0.0614,0.0136,0.4849,0.0085
ddim,4,4,3,0.0108,0.0003,quadratic,quadratic,20000,120000,0.9310,0.0058,0.9352,0.0057,0.9355,0.0061,0.4809,0.0132,0.5502,0.0055,0.5131,0.0083,0.7242,0.0054
ddim,4,4,3,0.0108,0.0003,polar3,polar,20000,120000,0.9672,0.0039,0.9707,0.0036,0.9724,0.0043,0.4781,0.0277,0.6505,0.0258,0.5499,0.0096,0.7603,0.0039
ddim,4,8,3,0.0118,0.0002,knn,knn,2000,24000,0.7870,0.0158,0.7918,0.0158,0.8045,0.0150,0.1073,0.0074,0.3863,0.0146,0.1679,0.0104,0.4798,0.0131
ddim,4,8,3,0.0118,0.0002,altered_knn,altered_knn,2000,16000,0.8451,0.0312,0.8532,0.0327,0.8718,0.0132,0.0422,0.0076,0.1663,0.1092,0.0597,0.0044,0.4564,0.0173
ddim,4,8,3,0.0118,0.0002,quadratic,quadratic,2000,24000,0.8938,0.0159,0.8988,0.0158,0.9034,0.0152,0.2502,0.0228,0.4735,0.0155,0.3271,0.0232,0.6130,0.0193
ddim,4,8,3,0.0118,0.0002,polar3,polar,2000,24000,0.9488,0.0115,0.9535,0.0112,0.9590,0.0110,0.2794,0.0192,0.5507,0.0313,0.3707,0.0240,0.6621,0.0176
ddim,4,8,3,0.0118,0.0002,knn,knn,5000,60000,0.8287,0.0152,0.8338,0.0151,0.8439,0.0143,0.1355,0.0112,0.4069,0.0162,0.2033,0.0146,0.5185,0.0149
ddim,4,8,3,0.0118,0.0002,altered_knn,altered_knn,5000,40000,0.8595,0.0238,0.8676,0.0248,0.8849,0.0114,0.0452,0.0077,0.1754,0.0673,0.0687,0.0055,0.4682,0.0152
ddim,4,8,3,0.0118,0.0002,quadratic,quadratic,5000,60000,0.8949,0.0160,0.8999,0.0159,0.9044,0.0152,0.2524,0.0261,0.4727,0.0164,0.3287,0.0264,0.6143,0.0211
ddim,4,8,3,0.0118,0.0002,polar3,polar,5000,60000,0.9504,0.0114,0.9552,0.0112,0.9603,0.0108,0.2891,0.0205,0.5481,0.0269,0.3785,0.0240,0.6669,0.0176
ddim,4,8,3,0.0118,0.0002,knn,knn,10000,120000,0.8542,0.0141,0.8594,0.0141,0.8681,0.0133,0.1542,0.0114,0.4148,0.0125,0.2248,0.0140,0.5421,0.0140
