sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,4,4,0.0901,polar3,polar,100000,600000,0.9105,0.9633,0.9339,0.8346,0.3779,0.5202,0.7418
ddim,4,8,0.0265,knn,knn,2000,24000,0.7626,0.7734,0.7784,0.1613,0.3672,0.2241,0.4988
ddim,4,8,0.0265,altered_knn,altered_knn,2000,16000,0.8148,0.8333,0.8392,0.0701,0.1375,0.0929,0.4631
ddim,4,8,0.0265,polar3,polar,2000,24000,0.9080,0.9213,0.9225,0.3294,0.4218,0.3699,0.6456
ddim,4,8,0.0265,knn,knn,5000,60000,0.8018,0.8134,0.8154,0.1917,0.3748,0.2537,0.5335
ddim,4,8,0.0265,altered_knn,altered_knn,5000,40000,0.8202,0.8358,0.8567,0.0809,0.2486,0.1221,0.4789
ddim,4,8,0.0265,polar3,polar,5000,60000,0.9067,0.9206,0.9212,0.3236,0.3955,0.3559,0.6383
ddim,4,8,0.0265,knn,knn,10000,120000,0.8273,0.8399,0.8404,0.2126,0.3672,0.2693,0.5546
ddim,4,8,0.0265,altered_knn,altered_knn,10000,80000,0.8492,0.8704,0.8621,0.0909,0.0716,0.0801,0.4752
ddim,4,8,0.0265,polar3,polar,10000,120000,0.9070,0.9210,0.9217,0.3266,0.3955,0.3578,0.6394
ddim,4,8,0.0265,knn,knn,20000,240000,0.8515,0.8657,0.8646,0.2241,0.3333,0.2680,0.5668
ddim,4,8,0.0265,altered_knn,altered_knn,20000,160000,0.8593,0.8816,0.8712,0.0663,0.0414,0.0510,0.4663
ddim,4,8,0.0265,polar3,polar,20000,240000,0.9076,0.9215,0.9219,0.3302,0.3992,0.3615,0.6415
ddim,4,8,0.0265,knn,knn,50000,600000,0.8696,0.8836,0.8830,0.2639,0.3578,0.3038,0.5937
ddim,4,8,0.0265,altered_knn,altered_knn,50000,400000,0.8734,0.8963,0.8825,0.0933,0.0339,0.0497,0.4730
ddim,4,8,0.0265,polar3,polar,50000,600000,0.9082,0.9225,0.9227,0.3208,0.3842,0.3496,0.6361
ddim,4,8,0.0265,knn,knn,100000,1200000,0.8841,0.8989,0.8962,0.3002,0.3409,0.3192,0.6091
