T,model,n_cells,mean_full_acc,mean_mode_acc,mean_mode_f1,mean_hall_prec,mean_hall_rec,mean_hall_f1,mean_balanced
650,quadratic,20,0.8717,0.8855,0.8875,0.4963,0.2527,0.2707,0.5781
700,altered_knn,20,0.7797,0.7924,0.8166,0.0726,0.2061,0.0834,0.4379
700,analytic,20,0.9284,0.9423,0.9363,0.6942,0.3140,0.4254,0.6838
700,kernel,20,0.4181,0.4113,0.4137,0.1185,0.5941,0.0815,0.2464
700,knn,20,0.6501,0.6608,0.6627,0.1613,0.1451,0.1040,0.3824
700,linear,20,0.3145,0.3062,0.4067,0.0207,0.6334,0.0400,0.1731
700,mlp,20,0.9037,0.9192,0.9132,0.5979,0.2130,0.2857,0.6025
700,polar2,20,0.8979,0.9117,0.9099,0.4344,0.2781,0.3098,0.6108
700,polar3,20,0.8989,0.9129,0.9089,0.5768,0.2727,0.3370,0.6249
700,polar8,20,0.8804,0.8946,0.8902,0.5123,0.2396,0.2935,0.5940
700,quadratic,20,0.8716,0.8855,0.8875,0.4980,0.2521,0.2703,0.5779
750,altered_knn,20,0.7812,0.7940,0.8171,0.0725,0.1940,0.0827,0.4383
750,analytic,20,0.9284,0.9423,0.9362,0.6935,0.3157,0.4268,0.6845
750,kernel,20,0.4181,0.4113,0.4137,0.1184,0.5941,0.0815,0.2464
750,knn,20,0.6500,0.6608,0.6627,0.1648,0.1452,0.1041,0.3825
750,linear,20,0.3144,0.3061,0.4065,0.0207,0.6334,0.0400,0.1730
750,mlp,20,0.9028,0.9183,0.9123,0.5915,0.2097,0.2807,0.5995
750,polar2,20,0.8978,0.9117,0.9098,0.4326,0.2764,0.3080,0.6098
750,polar3,20,0.8988,0.9129,0.9088,0.5769,0.2719,0.3360,0.6244
750,polar8,20,0.8802,0.8944,0.8899,0.5242,0.2392,0.2958,0.5951
750,quadratic,20,0.8716,0.8856,0.8875,0.4995,0.2508,0.2692,0.5774
800,altered_knn,20,0.7815,0.7944,0.8172,0.0731,0.1926,0.0827,0.4385
800,analytic,20,0.9284,0.9423,0.9363,0.6931,0.3174,0.4283,0.6853
800,kernel,20,0.4181,0.4113,0.4137,0.1181,0.5938,0.0812,0.2462
800,knn,20,0.6499,0.6607,0.6626,0.1653,0.1452,0.1041,0.3824
800,linear,20,0.3142,0.3059,0.4062,0.0207,0.6338,0.0400,0.1729
800,mlp,20,0.9029,0.9184,0.9123,0.5893,0.2098,0.2818,0.6001
800,polar2,20,0.8978,0.9117,0.9098,0.4328,0.2766,0.3081,0.6099
800,polar3,20,0.8989,0.9130,0.9089,0.5773,0.2710,0.3353,0.6241
800,polar8,20,0.8805,0.8948,0.8903,0.5206,0.2361,0.2908,0.5928
800,quadratic,20,0.8717,0.8856,0.8876,0.5011,0.2508,0.2694,0.5775
850,altered_knn,20,0.7814,0.7943,0.8171,0.0732,0.1922,0.0825,0.4384
850,analytic,20,0.9284,0.9422,0.9363,0.6930,0.3184,0.4292,0.6857
850,kernel,20,0.4181,0.4113,0.4137,0.1181,0.5936,0.0810,0.2462
850,knn,20,0.6499,0.6607,0.6625,0.1655,0.1455,0.1043,0.3825
850,linear,20,0.3141,0.3058,0.4061,0.0207,0.6341,0.0400,0.1729
850,mlp,20,0.9030,0.9186,0.9125,0.5950,0.2084,0.2797,0.5991
850,polar2,20,0.8977,0.9116,0.9098,0.4321,0.2758,0.3074,0.6095
850,polar3,20,0.8988,0.9128,0.9088,0.5771,0.2709,0.3350,0.6239
850,polar8,20,0.8806,0.8948,0.8904,0.5202,0.2391,0.2944,0.5946
850,quadratic,20,0.8716,0.8856,0.8875,0.4997,0.2497,0.2680,0.5768
900,altered_knn,20,0.7819,0.7948,0.8173,0.0737,0.1920,0.0828,0.4388
900,analytic,20,0.9284,0.9422,0.9363,0.6930,0.3186,0.4294,0.6858
900,kernel,20,0.4181,0.4113,0.4137,0.1179,0.5935,0.0808,0.2460
900,knn,20,0.6499,0.6606,0.6625,0.1654,0.1456,0.1044,0.3825
900,linear,20,0.3140,0.3057,0.4059,0.0207,0.6341,0.0400,0.1728
900,mlp,20,0.9031,0.9187,0.9126,0.5959,0.2069,0.2769,0.5978
900,polar2,20,0.8977,0.9116,0.9098,0.4310,0.2747,0.3062,0.6089
900,polar3,20,0.8989,0.9130,0.9089,0.5778,0.2698,0.3338,0.6234
900,polar8,20,0.8807,0.8950,0.8905,0.5184,0.2354,0.2897,0.5923
900,quadratic,20,0.8717,0.8856,0.8875,0.5016,0.2497,0.2684,0.5770
950,altered_knn,20,0.7811,0.7938,0.8171,0.0738,0.1974,0.0833,0.4386
950,analytic,20,0.9284,0.9422,0.9363,0.6931,0.3194,0.4302,0.6862
950,kernel,20,0.4181,0.4112,0.4137,0.1180,0.5935,0.0809,0.2461
