sampler,seed,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,0,2,4,0.0116,polar8_cal,polar,50000,300000,0.8906,0.8957,0.8966,0.2902,0.4629,0.3568,0.6262
ddim,0,2,4,0.0116,knn,knn,100000,600000,0.8916,0.8969,0.8973,0.2948,0.4404,0.3531,0.6250
ddim,0,2,4,0.0116,altered_knn,altered_knn,100000,400000,0.8932,0.9029,0.8984,0.1085,0.0644,0.0809,0.4919
ddim,0,2,4,0.0116,quadratic,quadratic,100000,600000,0.8732,0.8771,0.8965,0.1064,0.5446,0.1780,0.5276
ddim,0,2,4,0.0116,quadratic_cal,quadratic,100000,600000,0.8915,0.8969,0.8988,0.2600,0.4339,0.3252,0.6110
ddim,0,2,4,0.0116,polar8,polar,100000,600000,0.8902,0.8951,0.8965,0.2818,0.4780,0.3546,0.6248
ddim,0,2,4,0.0116,polar8_cal,polar,100000,600000,0.8912,0.8962,0.8969,0.3050,0.4662,0.3687,0.6325
ddim,100,2,4,0.0104,knn,knn,20000,120000,0.9134,0.9197,0.9204,0.2530,0.3100,0.2786,0.5992
ddim,100,2,4,0.0104,altered_knn,altered_knn,20000,80000,0.9109,0.9204,0.9192,0.0087,0.0072,0.0079,0.4641
ddim,100,2,4,0.0104,quadratic,quadratic,20000,120000,0.9193,0.9255,0.9273,0.2429,0.3281,0.2791,0.6023
ddim,100,2,4,0.0104,quadratic_cal,quadratic,20000,120000,0.9222,0.9287,0.9288,0.3017,0.2992,0.3004,0.6146
ddim,100,2,4,0.0104,polar8,polar,20000,120000,0.9135,0.9196,0.9204,0.2617,0.3293,0.2917,0.6056
ddim,100,2,4,0.0104,polar8_cal,polar,20000,120000,0.9154,0.9216,0.9209,0.3576,0.3257,0.3409,0.6312
ddim,100,2,4,0.0104,knn,knn,50000,300000,0.9146,0.9208,0.9207,0.3099,0.3197,0.3147,0.6178
ddim,100,2,4,0.0104,altered_knn,altered_knn,50000,200000,0.9113,0.9208,0.9193,0.0079,0.0060,0.0068,0.4638
ddim,100,2,4,0.0104,quadratic,quadratic,50000,300000,0.9212,0.9274,0.9316,0.1730,0.3341,0.2280,0.5777
ddim,100,2,4,0.0104,quadratic_cal,quadratic,50000,300000,0.9259,0.9325,0.9321,0.3246,0.2979,0.3107,0.6216
ddim,100,2,4,0.0104,polar8,polar,50000,300000,0.9142,0.9203,0.9206,0.2901,0.3293,0.3085,0.6144
ddim,100,2,4,0.0104,polar8_cal,polar,50000,300000,0.9153,0.9215,0.9208,0.3548,0.3257,0.3396,0.6305
ddim,100,2,4,0.0104,knn,knn,100000,600000,0.9152,0.9214,0.9209,0.3410,0.3221,0.3313,0.6263
ddim,100,2,4,0.0104,altered_knn,altered_knn,100000,400000,0.9129,0.9224,0.9196,0.0104,0.0048,0.0066,0.4645
